areaCode,areaName,areaType,date,newCasesByPublishDate,newCasesLFDOnlyBySpecimenDate,newCasesPCROnlyBySpecimenDate,newOnsDeathsByRegistrationDate,newPeopleVaccinatedFirstDoseByPublishDate
E12000001,North East,region,2021-08-14,1225,42,752,,
E12000001,North East,region,2021-08-13,1125,37,903,51,
E12000001,North East,region,2021-08-12,1107,39,932,,
E12000001,North East,region,2021-08-11,1134,46,973,,
E12000001,North East,region,2021-08-10,1042,41,967,,
E12000001,North East,region,2021-08-09,905,45,1024,,
E12000001,North East,region,2021-08-08,957,35,700,,
E12000001,North East,region,2021-08-07,1247,31,748,,
E12000001,North East,region,2021-08-06,1397,40,880,55,
E12000001,North East,region,2021-08-05,1151,43,1070,,
E12000001,North East,region,2021-08-04,1294,37,1136,,
E12000001,North East,region,2021-08-03,829,40,1021,,
E12000001,North East,region,2021-08-02,909,43,998,,
E12000001,North East,region,2021-08-01,1035,29,698,,
E12000001,North East,region,2021-07-31,1281,36,722,,
E12000001,North East,region,2021-07-30,1470,42,981,46,
E12000001,North East,region,2021-07-29,1498,51,1032,,
E12000001,North East,region,2021-07-28,1430,47,1189,,
E12000001,North East,region,2021-07-27,1265,48,1269,,
E12000001,North East,region,2021-07-26,1443,48,1416,,
E12000001,North East,region,2021-07-25,1522,56,986,,
E12000001,North East,region,2021-07-24,1830,50,1106,,
E12000001,North East,region,2021-07-23,2112,64,1360,24,
E12000001,North East,region,2021-07-22,2531,67,1587,,
E12000001,North East,region,2021-07-21,2837,66,1794,,
E12000001,North East,region,2021-07-20,3001,50,2161,,
E12000001,North East,region,2021-07-19,3159,129,2864,,
E12000001,North East,region,2021-07-18,3889,97,1885,,
E12000001,North East,region,2021-07-17,4454,93,2206,,
E12000001,North East,region,2021-07-16,3959,107,3340,24,
E12000001,North East,region,2021-07-15,3697,145,3776,,
E12000001,North East,region,2021-07-14,3447,151,3458,,
E12000001,North East,region,2021-07-13,3413,123,3312,,
E12000001,North East,region,2021-07-12,3012,160,3134,,
E12000001,North East,region,2021-07-11,3726,133,2210,,
E12000001,North East,region,2021-07-10,2918,89,2328,,
E12000001,North East,region,2021-07-09,3261,87,2598,8,
E12000001,North East,region,2021-07-08,3305,115,2668,,
E12000001,North East,region,2021-07-07,2999,118,3100,,
E12000001,North East,region,2021-07-06,2842,118,2851,,
E12000001,North East,region,2021-07-05,2511,124,2717,,
E12000001,North East,region,2021-07-04,2298,117,1806,,
E12000001,North East,region,2021-07-03,2469,88,1829,,
E12000001,North East,region,2021-07-02,2238,82,1853,5,
E12000001,North East,region,2021-07-01,2496,102,2111,,
E12000001,North East,region,2021-06-30,2392,82,2005,,
E12000001,North East,region,2021-06-29,1439,70,1980,,
E12000001,North East,region,2021-06-28,2005,91,1853,,
E12000001,North East,region,2021-06-27,1162,67,1140,,
E12000001,North East,region,2021-06-26,1417,53,1073,,
E12000001,North East,region,2021-06-25,1172,55,1242,2,
E12000001,North East,region,2021-06-24,1108,40,1063,,
E12000001,North East,region,2021-06-23,1095,53,1007,,
E12000001,North East,region,2021-06-22,714,40,935,,
E12000001,North East,region,2021-06-21,848,49,825,,
E12000001,North East,region,2021-06-20,641,35,476,,
E12000001,North East,region,2021-06-19,742,25,492,,
E12000001,North East,region,2021-06-18,633,26,567,3,
E12000001,North East,region,2021-06-17,647,39,588,,
E12000001,North East,region,2021-06-16,567,35,497,,
E12000001,North East,region,2021-06-15,518,24,513,,
E12000001,North East,region,2021-06-14,413,31,510,,
E12000001,North East,region,2021-06-13,301,31,311,,
E12000001,North East,region,2021-06-12,448,18,280,,
E12000001,North East,region,2021-06-11,315,15,312,3,
E12000001,North East,region,2021-06-10,320,12,325,,
E12000001,North East,region,2021-06-09,302,22,285,,
E12000001,North East,region,2021-06-08,242,11,250,,
E12000001,North East,region,2021-06-07,210,29,231,,
E12000001,North East,region,2021-06-06,166,21,131,,
E12000001,North East,region,2021-06-05,239,12,114,,
E12000001,North East,region,2021-06-04,154,1,152,2,
E12000001,North East,region,2021-06-03,113,24,163,,
E12000001,North East,region,2021-06-02,122,15,113,,
E12000001,North East,region,2021-06-01,78,12,101,,
E12000001,North East,region,2021-05-31,83,13,62,,
E12000001,North East,region,2021-05-30,120,10,46,,
E12000001,North East,region,2021-05-29,94,7,73,,
E12000001,North East,region,2021-05-28,97,16,71,1,
E12000001,North East,region,2021-05-27,73,11,71,,
E12000001,North East,region,2021-05-26,92,16,63,,
E12000001,North East,region,2021-05-25,66,10,69,,
E12000001,North East,region,2021-05-24,70,19,51,,
E12000001,North East,region,2021-05-23,56,14,47,,
E12000001,North East,region,2021-05-22,70,4,33,,
E12000001,North East,region,2021-05-21,61,8,47,7,
E12000001,North East,region,2021-05-20,77,14,45,,
E12000001,North East,region,2021-05-19,74,17,52,,
E12000001,North East,region,2021-05-18,0,8,64,,
E12000001,North East,region,2021-05-17,72,14,70,,
E12000001,North East,region,2021-05-16,54,22,34,,
E12000001,North East,region,2021-05-15,83,8,38,,
E12000001,North East,region,2021-05-14,74,5,44,6,
E12000001,North East,region,2021-05-13,108,16,48,,
E12000001,North East,region,2021-05-12,76,15,56,,
E12000001,North East,region,2021-05-11,101,12,64,,
E12000001,North East,region,2021-05-10,77,9,48,,
E12000001,North East,region,2021-05-09,83,35,40,,
E12000001,North East,region,2021-05-08,97,15,39,,
E12000001,North East,region,2021-05-07,55,9,61,3,
E12000001,North East,region,2021-05-06,97,10,69,,
E12000001,North East,region,2021-05-05,105,23,47,,
E12000001,North East,region,2021-05-04,84,18,80,,
E12000001,North East,region,2021-05-03,63,17,38,,
E12000001,North East,region,2021-05-02,54,15,31,,
E12000001,North East,region,2021-05-01,80,7,35,,
E12000001,North East,region,2021-04-30,92,7,55,13,
E12000001,North East,region,2021-04-29,94,31,36,,
E12000001,North East,region,2021-04-28,89,18,42,,
E12000001,North East,region,2021-04-27,129,13,67,,
E12000001,North East,region,2021-04-26,88,27,62,,
E12000001,North East,region,2021-04-25,69,27,26,,
E12000001,North East,region,2021-04-24,57,10,35,,
E12000001,North East,region,2021-04-23,95,21,42,6,
E12000001,North East,region,2021-04-22,99,20,30,,
E12000001,North East,region,2021-04-21,118,28,58,,
E12000001,North East,region,2021-04-20,83,15,45,,
E12000001,North East,region,2021-04-19,109,23,70,,
E12000001,North East,region,2021-04-18,63,37,42,,
E12000001,North East,region,2021-04-17,81,12,43,,
E12000001,North East,region,2021-04-16,90,16,61,14,
E12000001,North East,region,2021-04-15,94,12,52,,
E12000001,North East,region,2021-04-14,59,14,67,,
E12000001,North East,region,2021-04-13,117,5,57,,
E12000001,North East,region,2021-04-12,184,20,66,,
E12000001,North East,region,2021-04-11,63,24,68,,
E12000001,North East,region,2021-04-10,68,7,65,,
E12000001,North East,region,2021-04-09,0,5,81,17,
E12000001,North East,region,2021-04-08,123,11,82,,
E12000001,North East,region,2021-04-07,139,8,103,,
E12000001,North East,region,2021-04-06,74,9,106,,
E12000001,North East,region,2021-04-05,118,21,95,,
E12000001,North East,region,2021-04-04,94,10,77,,
E12000001,North East,region,2021-04-03,166,3,81,,
E12000001,North East,region,2021-04-02,134,8,75,16,
E12000001,North East,region,2021-04-01,242,14,121,,
E12000001,North East,region,2021-03-31,275,22,158,,
E12000001,North East,region,2021-03-30,152,12,156,,
E12000001,North East,region,2021-03-29,414,7,214,,
E12000001,North East,region,2021-03-28,38,51,145,,
E12000001,North East,region,2021-03-27,0,10,177,,
E12000001,North East,region,2021-03-26,428,24,158,35,
E12000001,North East,region,2021-03-25,440,33,151,,
E12000001,North East,region,2021-03-24,367,81,55,,
E12000001,North East,region,2021-03-23,323,60,87,,
E12000001,North East,region,2021-03-22,214,50,239,,
E12000001,North East,region,2021-03-21,232,53,175,,
E12000001,North East,region,2021-03-20,271,12,176,,
E12000001,North East,region,2021-03-19,293,18,213,38,
E12000001,North East,region,2021-03-18,375,15,224,,
E12000001,North East,region,2021-03-17,260,33,232,,
E12000001,North East,region,2021-03-16,251,24,253,,
E12000001,North East,region,2021-03-15,301,45,242,,
E12000001,North East,region,2021-03-14,219,27,154,,
E12000001,North East,region,2021-03-13,259,11,235,,
E12000001,North East,region,2021-03-12,433,26,251,66,
E12000001,North East,region,2021-03-11,297,25,263,,
E12000001,North East,region,2021-03-10,345,31,272,,
E12000001,North East,region,2021-03-09,288,31,330,,
E12000001,North East,region,2021-03-08,306,37,286,,
E12000001,North East,region,2021-03-07,217,15,185,,
E12000001,North East,region,2021-03-06,306,10,229,,
E12000001,North East,region,2021-03-05,282,29,241,86,
E12000001,North East,region,2021-03-04,367,20,276,,
E12000001,North East,region,2021-03-03,407,14,318,,
E12000001,North East,region,2021-03-02,305,20,296,,
