,areaCode,areaName,areaType,date,hospitalCases
0,E40000007,East of England,nhsRegion,2022-08-10,776
1,E40000007,East of England,nhsRegion,2022-08-09,821
2,E40000007,East of England,nhsRegion,2022-08-08,835
3,E40000007,East of England,nhsRegion,2022-08-07,852
4,E40000007,East of England,nhsRegion,2022-08-06,807
5,E40000007,East of England,nhsRegion,2022-08-05,857
6,E40000007,East of England,nhsRegion,2022-08-04,875
7,E40000007,East of England,nhsRegion,2022-08-03,928
8,E40000007,East of England,nhsRegion,2022-08-02,977
9,E40000007,East of England,nhsRegion,2022-08-01,1031
10,E40000007,East of England,nhsRegion,2022-07-31,1020
11,E40000007,East of England,nhsRegion,2022-07-30,1024
12,E40000007,East of England,nhsRegion,2022-07-29,1096
13,E40000007,East of England,nhsRegion,2022-07-28,1122
14,E40000007,East of England,nhsRegion,2022-07-27,1213
15,E40000007,East of England,nhsRegion,2022-07-26,1211
16,E40000007,East of England,nhsRegion,2022-07-25,1230
17,E40000007,East of England,nhsRegion,2022-07-24,1217
18,E40000007,East of England,nhsRegion,2022-07-23,1224
19,E40000007,East of England,nhsRegion,2022-07-22,1264
20,E40000007,East of England,nhsRegion,2022-07-21,1278
21,E40000007,East of England,nhsRegion,2022-07-20,1328
22,E40000007,East of England,nhsRegion,2022-07-19,1375
23,E40000007,East of England,nhsRegion,2022-07-18,1416
24,E40000007,East of England,nhsRegion,2022-07-17,1421
25,E40000007,East of England,nhsRegion,2022-07-16,1407
26,E40000007,East of England,nhsRegion,2022-07-15,1432
27,E40000007,East of England,nhsRegion,2022-07-14,1419
28,E40000007,East of England,nhsRegion,2022-07-13,1387
29,E40000007,East of England,nhsRegion,2022-07-12,1354
30,E40000007,East of England,nhsRegion,2022-07-11,1340
31,E40000007,East of England,nhsRegion,2022-07-10,1343
32,E40000007,East of England,nhsRegion,2022-07-09,1218
33,E40000007,East of England,nhsRegion,2022-07-08,1235
34,E40000007,East of England,nhsRegion,2022-07-07,1199
35,E40000007,East of England,nhsRegion,2022-07-06,1142
36,E40000007,East of England,nhsRegion,2022-07-05,1066
37,E40000007,East of England,nhsRegion,2022-07-04,1074
38,E40000007,East of England,nhsRegion,2022-07-03,979
39,E40000007,East of England,nhsRegion,2022-07-02,1000
40,E40000007,East of England,nhsRegion,2022-07-01,942
41,E40000007,East of England,nhsRegion,2022-06-30,916
42,E40000007,East of England,nhsRegion,2022-06-29,852
43,E40000007,East of England,nhsRegion,2022-06-28,811
44,E40000007,East of England,nhsRegion,2022-06-27,793
45,E40000007,East of England,nhsRegion,2022-06-26,738
46,E40000007,East of England,nhsRegion,2022-06-25,708
47,E40000007,East of England,nhsRegion,2022-06-24,663
48,E40000007,East of England,nhsRegion,2022-06-23,625
49,E40000007,East of England,nhsRegion,2022-06-22,616
50,E40000007,East of England,nhsRegion,2022-06-21,593
51,E40000007,East of England,nhsRegion,2022-06-20,559
52,E40000007,East of England,nhsRegion,2022-06-19,518
53,E40000007,East of England,nhsRegion,2022-06-18,491
54,E40000007,East of England,nhsRegion,2022-06-17,479
55,E40000007,East of England,nhsRegion,2022-06-16,467
56,E40000007,East of England,nhsRegion,2022-06-15,456
57,E40000007,East of England,nhsRegion,2022-06-14,428
58,E40000007,East of England,nhsRegion,2022-06-13,431
59,E40000007,East of England,nhsRegion,2022-06-12,416
60,E40000007,East of England,nhsRegion,2022-06-11,413
61,E40000007,East of England,nhsRegion,2022-06-10,413
62,E40000007,East of England,nhsRegion,2022-06-09,399
63,E40000007,East of England,nhsRegion,2022-06-08,408
64,E40000007,East of England,nhsRegion,2022-06-07,402
65,E40000007,East of England,nhsRegion,2022-06-06,402
66,E40000007,East of England,nhsRegion,2022-06-05,384
67,E40000007,East of England,nhsRegion,2022-06-04,368
68,E40000007,East of England,nhsRegion,2022-06-03,355
69,E40000007,East of England,nhsRegion,2022-06-02,371
70,E40000007,East of England,nhsRegion,2022-06-01,335
71,E40000007,East of England,nhsRegion,2022-05-31,365
72,E40000007,East of England,nhsRegion,2022-05-30,376
73,E40000007,East of England,nhsRegion,2022-05-29,361
74,E40000007,East of England,nhsRegion,2022-05-28,372
75,E40000007,East of England,nhsRegion,2022-05-27,408
76,E40000007,East of England,nhsRegion,2022-05-26,412
77,E40000007,East of England,nhsRegion,2022-05-25,430
78,E40000007,East of England,nhsRegion,2022-05-24,443
79,E40000007,East of England,nhsRegion,2022-05-23,469
80,E40000007,East of England,nhsRegion,2022-05-22,471
81,E40000007,East of England,nhsRegion,2022-05-21,475
